Index,Composition,Phases present,Hardness (HVN),IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
68,Al22.5Cu20.0Fe15.0Ni20.0Ti22.5,FCC,516,0,0,0.225,0,0,0,0,0,0.2,0.15,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.225,0,0,0,0,0
69,AlCuFeNiTi,FCC,516,0,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0
70,AlCuNiTi,FCC,537,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0
71,AlLi0.5MgSn0.2Zn0.5,FCC + IM,,1,0,0.312,0,0,0,0,0,0,0,0,0,0,0.156,0.312,0,0,0,0,0,0,0,0,0,0,0.062,0,0,0,0,0,0.156,0
72,AlLiMgSnZn,FCC + HCP + IM,,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0
73,Al8.0Li0.5Mg0.5Sn0.5Zn0.5,FCC + IM,,1,0,0.8,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0
74,Al8.0Cu0.5Li0.5Mg0.5Zn0.5,FCC + IM,,1,0,0.8,0,0,0,0,0,0.05,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
75,AlCr0.5NbTiV,BCC,,0,0,0.222,0,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0.222,0,0,0,0,0,0,0,0,0.222,0.222,0,0,0,0
76,AlCrNbTiV,BCC + IM,,1,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0
77,AlCr1.5NbTiV,FCC + IM,,1,0,0.182,0,0,0,0,0.273,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0.182,0.182,0,0,0,0
78,Al0.4Hf0.6NbTaTiZr,BCC,500,0,0,0.08,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2
79,Al0.3HfNbTaTiZr,BCC,353,0,0,0.057,0,0,0,0,0,0,0,0,0,0.189,0,0,0,0,0,0.189,0,0,0,0,0,0,0,0.189,0.189,0,0,0,0,0.189
80,Al0.5HfNbTaTiZr,BCC,396,0,0,0.091,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0.182,0.182,0,0,0,0,0.182
81,Al0.75HfNbTaTiZr,BCC,427,0,0,0.13,0,0,0,0,0,0,0,0,0,0.174,0,0,0,0,0,0.174,0,0,0,0,0,0,0,0.174,0.174,0,0,0,0,0.174
82,AlMo0.5NbTa0.5TiZr,BCC,591,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0.2
83,Al0.25MoNbTiV,BCC,460,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0,0.235,0,0,0,0,0,0,0,0,0.235,0.235,0,0,0,0
84,Al0.5MoNbTiV,BCC,487,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0,0.222,0,0,0,0,0,0,0,0,0.222,0.222,0,0,0,0
85,Al0.75MoNbTiV,BCC,517,0,0,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0,0.211,0,0,0,0,0,0,0,0,0.211,0.211,0,0,0,0
86,AlMoNbTiV,BCC,537,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0
87,Al0.25NbTaTiV,BCC,,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0,0,0,0,0,0,0,0.235,0.235,0.235,0,0,0,0
88,Al0.5NbTaTiV,BCC,,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0,0,0,0,0,0,0,0.222,0.222,0.222,0,0,0,0
89,AlNbTaTiV,BCC,,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0
90,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,BCC,500,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.16,0.28,0.04,0,0,0,0.26
91,Al0.5NbTa0.8Ti1.5V0.2Zr,BCC,530,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.16,0.3,0.04,0,0,0,0.2
92,Al0.3NbTaTi1.4Zr1.3,BCC,490,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.28,0,0,0,0,0.26
93,AlNb1.5Ta0.5Ti1.5Zr0.5,BCC,408,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.1,0.3,0,0,0,0,0.1
94,AlNbTiV,BCC,448,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0
95,CrHfNbTiZr,BCC + lM,464,1,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2
96,CrMo0.5NbTa0.5TiZr,BCC + lM,540,1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0.2
97,CrNbTiVZr,BCC + lM,482,1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2
98,CrNbTiZr,BCC + lM,418,1,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25
99,Hf0.5Mo0.5NbTiZr,BCC + lM,400,1,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.125,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25
100,Hf0.5Mo0.5NbSi0.1TiZr,BCC + lM,442,1,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0,0,0.122,0,0.244,0,0,0,0,0,0.024,0,0,0.244,0,0,0,0,0.244
101,Hf0.5Mo0.5NbSi0.3TiZr,BCC + lM,494,1,0,0,0,0,0,0,0,0,0,0,0,0.116,0,0,0,0.116,0,0.233,0,0,0,0,0,0.07,0,0,0.233,0,0,0,0,0.233
102,Hf0.5Mo0.5NbSi0.5TiZr,BCC + lM,524,1,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0.111,0,0.222,0,0,0,0,0,0.111,0,0,0.222,0,0,0,0,0.222
103,Hf0.5Mo0.5NbSi0.7TiZr,BCC + lM,580,1,0,0,0,0,0,0,0,0,0,0,0,0.106,0,0,0,0.106,0,0.213,0,0,0,0,0,0.149,0,0,0.213,0,0,0,0,0.213
104,Hf0.5Mo0.5NbSi0.9TiZr,BCC + lM,640,1,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0,0,0.102,0,0.204,0,0,0,0,0,0.184,0,0,0.204,0,0,0,0,0.204
105,Hf0.5Mo0.5NbTiZrC0.1,BCC + lM,,1,0,0,0,0.024,0,0,0,0,0,0,0,0.122,0,0,0,0.122,0,0.244,0,0,0,0,0,0,0,0,0.244,0,0,0,0,0.244
106,Hf0.5Mo0.5NbTiZrC0.3,BCC + lM,,1,0,0,0,0.07,0,0,0,0,0,0,0,0.116,0,0,0,0.116,0,0.233,0,0,0,0,0,0,0,0,0.233,0,0,0,0,0.233
107,HfMo0.25NbTaTiZr,BCC,395,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0.048,0,0.19,0,0,0,0,0,0,0,0.19,0.19,0,0,0,0,0.19
108,HfMo0.5NbTaTiZr,BCC,480,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0.091,0,0.182,0,0,0,0,0,0,0,0.182,0.182,0,0,0,0,0.182
109,HfMo0.75NbTaTiZr,BCC,492,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0,0,0,0.13,0,0.174,0,0,0,0,0,0,0,0.174,0.174,0,0,0,0,0.174
110,HfMoNbTaTiZr,BCC,505,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0.167,0,0.167,0,0,0,0,0,0,0,0.167,0.167,0,0,0,0,0.167
111,HfMoTaTiZr,BCC,542,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2
112,HfMoNbZrTi,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2
113,HfNbSi0.5TiV,BCC + lM,490,1,0,0,0,0,0,0,0,0,0,0,0,0.222,0,0,0,0,0,0.222,0,0,0,0,0,0.111,0,0,0.222,0.222,0,0,0,0
114,HfNbSi0.5TiVZr,BCC + lM,464,1,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0.182,0,0,0,0,0,0.091,0,0,0.182,0.182,0,0,0,0.182
115,HfNbTaZr,BCC,365,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25
116,HfNbTaTiZr,BCC,335,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2
117,HfNbTiVZr,BCC + lM,388,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2
118,MoNbTaV,BCC,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0
119,MoNbTaVW,BCC,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0
